isbn_number,code,start,end,title,sub_title,category,author,price,edition,edition_year,language,publisher,publish_year,series,rack_location,total_pages,source
312991428,CS1,1,1,anatomy & physiology,anatomy & physiology,BOOK,Ross & wilson,1126,3rd,2011,English,Rowohlt Tb.,2003,1st,108,950,BUY
449145751,CS2,1,1,Human physiology,Human physiology,BOOK,c.c. Chatterjee,3510,1st,2013,English,Fischer (Tb.),2002,2nd,110,431,BUY
195153448,CS3,1,1,Classical Mythology,Classical Mythology,BOOK,Mark P. O. Morford,3561,1st,2016,English,Diogenes Verlag,2000,1st,105,270,GIFT
2005018,CS4,1,1,Clara Callan,Clara Callan,BOOK,Richard Bruce Wright,1338,2nd,2019,English,HarperResource,2006,2nd,101,668,BUY
60973129,CS5,1,1,Decision in Normandy,Decision in Normandy,BOOK,Carlo D'Este,812,1st,2020,English,Fawcett Books,2007,1st,108,973,BUY
374157065,CS6,1,1,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,BOOK,Gina Bari Kolata,2542,4th,2018,English,Harvest House Publishers,1998,1st,110,486,GIFT
393045218,CS7,1,1,The Mummies of Urumchi,The Mummies of Urumchi,BOOK,E. J. W. Barber,690,4th,2018,English,Harvest House Pub,2002,2nd,106,778,BUY
399135782,CS8,1,1,The Kitchen God's Wife,The Kitchen God's Wife,BOOK,Amy Tan,2181,2nd,2014,English,Dorling Kindersley Publishing,1999,1st,103,713,BUY
425176428,CS9,1,1,What If?: The World's Foremost Military Historians Imagine What Might Have Been,What If?: The World's Foremost Military Historians Imagine What Might Have Been,BOOK,Robert Cowley,2397,3rd,2015,English,Moody Publishers,2001,2nd,106,563,GIFT
671870432,CS10,1,1,PLEADING GUILTY,PLEADING GUILTY,BOOK,Scott Turow,2699,1st,2014,English,Simon & Schuster,2001,1st,104,291,GIFT
